Serv Acct Num,Billing Month Year,Bill Amt,Kwh Usage,Cost per Kwh
65394,Jul 2019,58.32,284,0.20535211267605633
65394,Aug 2019,63.3,307,0.20618892508143322
65394,Sep 2019,74.47,357,0.20859943977591036
65394,Oct 2019,76.64,359,0.21348189415041782
65394,Nov 2019,74.83,406,0.1843103448275862
65394,Dec 2019,57.6,278,0.20719424460431654
65394,Jan 2020,87.23,456,0.19129385964912282
65394,Feb 2020,88.87,453,0.19618101545253863
65394,Mar 2020,81.49,418,0.19495215311004782
65394,Apr 2020,70.66,377,0.18742705570291776
65394,May 2020,74.53,386,0.19308290155440413
65394,Jun 2020,66.01,335,0.197044776119403
65395,Jul 2019,165.9,831,0.1996389891696751
65395,Aug 2019,179.57,870,0.2064022988505747
65395,Sep 2019,191.54,929,0.20617868675995693
65395,Oct 2019,166.69,802,0.2078428927680798
65395,Nov 2019,133.25,819,0.1626984126984127
65395,Dec 2019,138.74,849,0.16341578327444053
65395,Jan 2020,123.58,752,0.1643351063829787
65395,Feb 2020,121.37,700,0.17338571428571428
65395,Mar 2020,116.06,670,0.17322388059701493
65395,Apr 2020,119.07,705,0.1688936170212766
65395,May 2020,145.07,838,0.1731145584725537
65395,Jun 2020,145.78,823,0.17713244228432565
65396,Jul 2019,1823.66,7728,0.23598084886128365
65396,Aug 2019,2486.47,10381,0.2395212407282535
65396,Sep 2019,1862.21,11549,0.16124426357260369
65396,Oct 2019,1979.88,8573,0.2309436603289397
65396,Nov 2019,815.8,7143,0.11420971580568388
65396,Dec 2019,574.75,8102,0.0709392742532708
65396,Jan 2020,1568.9,13936,0.11257893226176809
65396,Feb 2020,1296.71,11905,0.10892146157076858
65396,Mar 2020,754.24,10225,0.0737643031784841
65396,Apr 2020,888.0,8711,0.10194007576627252
65396,May 2020,127.72,0,inf
65396,Jun 2020,806.3,6347,0.12703639514731369
8642354,Jul 2019,17.12,85,0.20141176470588237
8642354,Aug 2019,17.11,85,0.20129411764705882
8642354,Sep 2019,17.01,85,0.20011764705882354
8642354,Oct 2019,17.01,85,0.20011764705882354
8642354,Nov 2019,17.01,85,0.20011764705882354
8642354,Dec 2019,17.01,85,0.20011764705882354
8642354,Jan 2020,17.01,85,0.20011764705882354
8642354,Feb 2020,17.19,85,0.20223529411764707
8642354,Mar 2020,17.19,85,0.20223529411764707
8642354,Apr 2020,17.19,85,0.20223529411764707
8642354,May 2020,17.74,85,0.20870588235294116
8642354,Jun 2020,18.09,85,0.21282352941176472
10550102,Jul 2019,107253.66,596954,0.1796682156414062
10550102,Aug 2019,113099.61,634292,0.17830842892547913
10550102,Sep 2019,110176.54,663180,0.16613368919448715
10550102,Oct 2019,106015.9,593240,0.1787065942957319
10550102,Nov 2019,61682.23,547286,0.11270566029461744
10550102,Dec 2019,63321.16,589716,0.10737568592339364
10550102,Jan 2020,55175.12,496889,0.11104113796038954
10550102,Feb 2020,58247.95,545210,0.10683580638652995
10550102,Mar 2020,54896.43,486558,0.11282607623346035
10550102,Apr 2020,46305.48,377101,0.12279331001508881
10550102,May 2020,40084.51,300871,0.13322822737984052
10550102,Jun 2020,50334.24,358711,0.14031975601528807
16548872,Jul 2019,4624.06,18747,0.24665599829306026
16548872,Aug 2019,6208.47,25013,0.24820973093991125
